iter	Passed	Remaining
0	81	81477
1	101	50483
2	118	39460
3	133	33258
4	148	29620
5	164	27286
6	179	25492
7	195	24188
8	210	23205
9	226	22418
10	241	21736
11	257	21213
12	273	20791
13	290	20429
14	305	20089
15	321	19769
16	337	19504
17	353	19265
18	369	19086
19	385	18900
20	401	18719
21	417	18538
22	433	18408
23	448	18256
24	466	18186
25	494	18533
26	522	18819
27	549	19085
28	571	19136
29	596	19287
30	613	19174
31	628	19025
32	645	18918
33	662	18809
34	678	18707
35	694	18592
36	709	18475
37	726	18382
38	742	18297
39	758	18213
40	782	18296
41	804	18343
42	820	18268
43	837	18199
44	855	18154
45	870	18056
46	887	17989
47	902	17900
48	920	17858
49	935	17780
50	951	17697
51	967	17644
52	983	17574
53	1000	17521
54	1015	17455
55	1037	17490
56	1054	17442
57	1069	17362
58	1084	17291
59	1099	17230
60	1114	17158
61	1129	17091
62	1144	17026
63	1160	16969
64	1176	16916
65	1191	16864
66	1206	16805
67	1222	16751
68	1237	16691
69	1251	16633
70	1266	16573
71	1286	16585
72	1306	16588
73	1321	16540
74	1337	16496
75	1354	16462
76	1369	16415
77	1385	16374
78	1403	16362
79	1418	16317
80	1437	16312
81	1452	16262
82	1468	16229
83	1485	16196
84	1501	16168
85	1517	16132
86	1537	16130
87	1556	16127
88	1571	16089
89	1597	16148
90	1615	16138
91	1639	16185
92	1658	16170
93	1674	16137
94	1695	16151
95	1710	16106
96	1729	16104
97	1749	16104
98	1765	16066
99	1783	16048
100	1807	16089
101	1824	16065
102	1850	16112
103	1868	16095
104	1890	16116
105	1906	16079
106	1921	16034
107	1940	16029
108	1957	16003
109	1972	15962
110	1989	15934
111	2007	15913
112	2026	15910
113	2042	15876
114	2059	15845
115	2075	15815
116	2091	15782
117	2108	15760
118	2126	15741
119	2143	15716
120	2160	15695
121	2182	15708
122	2199	15680
123	2215	15650
124	2232	15626
125	2249	15600
126	2265	15571
127	2283	15555
128	2300	15531
129	2317	15511
130	2334	15485
131	2350	15457
132	2367	15433
133	2384	15407
134	2400	15381
135	2417	15360
136	2434	15335
137	2450	15305
138	2466	15279
139	2483	15257
140	2500	15231
141	2516	15204
142	2533	15182
143	2549	15153
144	2566	15130
145	2582	15104
146	2598	15076
147	2614	15050
148	2630	15026
149	2647	15000
150	2663	14974
151	2679	14947
152	2695	14923
153	2711	14896
154	2726	14866
155	2742	14839
156	2759	14816
157	2774	14786
158	2790	14757
159	2805	14730
160	2821	14703
161	2840	14691
162	2856	14667
163	2876	14663
164	2893	14641
165	2909	14617
166	2928	14607
167	2944	14580
